title,wikidataURL,ISSN-L,openAlexID,IPNIpubID,ZooBankPubID,dissolvedYear,dissolved,source
Lidia,http://www.wikidata.org/entity/Q89659488,0801-1524,,3184-2,,,,IPNI or ZooBank ID
Algemene Konst- en Letter-bode,http://www.wikidata.org/entity/Q16528785,,,8555-2,,,,IPNI or ZooBank ID
"Birmingham Botanic Garden, or Midland Floral Magazine",http://www.wikidata.org/entity/Q13548533,,,2506-2,,,,IPNI or ZooBank ID
"Bulletin de la Societe d'agriculture, sciences et arts de la Sarthe. Societe d'agriculture, sciences et arts de la Sarthe",http://www.wikidata.org/entity/Q27715651,0373-952X,,6230-2,,,,IPNI or ZooBank ID
Revista Guatemalensis,http://www.wikidata.org/entity/Q116003371,,,18722-2,,,,IPNI or ZooBank ID
Bericht über die zur Bekanntmachung geeigneten Verhandlungen der Königlich Preussischen Akademie der Wissenschaften zu Berlin,http://www.wikidata.org/entity/Q5726355,,,6616-2,,,,IPNI or ZooBank ID
Cactus,http://www.wikidata.org/entity/Q5738816,1257-4678,,3342-2,,,,IPNI or ZooBank ID
Proceedings of the Chicago Academy of Sciences,http://www.wikidata.org/entity/Q133890114,,,,2D2C6F9E-D3C3-4544-B09C-0FB3C6CA16C8,,,IPNI or ZooBank ID
Magazzino Toscano,http://www.wikidata.org/entity/Q5989642,1591-0776,,10069-2,,,,IPNI or ZooBank ID
Fremontia,http://www.wikidata.org/entity/Q18758713,,,2216-2,,,,IPNI or ZooBank ID
Botanische Abhandlungen,http://www.wikidata.org/entity/Q15715620,,,9016-2,,,,IPNI or ZooBank ID
Zeitschrift für Sukkulentenkunde,http://www.wikidata.org/entity/Q6171069,2944-4640,,8633-2,,,,IPNI or ZooBank ID
Anales del Instituto Botánico A. J. Cavanilles,http://www.wikidata.org/entity/Q5694355,0365-0790,,3783-2,,,,IPNI or ZooBank ID
Strelitzia,http://www.wikidata.org/entity/Q13548608,1025-322X,,17433-2,,,,IPNI or ZooBank ID
Bollettino del Museo Regionale di Scienze Naturali di Torino,http://www.wikidata.org/entity/Q21385965,0392-758X,,1882-2,39EEA660-B466-48A3-9F94-714F5BF5F296,,,IPNI or ZooBank ID
Tạp chí Sinh Vật Học,http://www.wikidata.org/entity/Q108744086,0251-0995,,,21CB5394-F09C-4316-8672-C5A1F2C4F4FE,,,IPNI or ZooBank ID
