OTU_ID	taxonomy	kingdom	phylum	class	order	Confidence
1147	Root;k__Chromista;p__Picozoa;c__Picomonadea;o__Picomonadida	Chromista	Picozoa	Picomonadea	Picomonadida	1
1148	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Eunotiales	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	1
1149	Root;k__Chromista;p__Ciliophora;c__Litostomatea;o__Dileptida	Chromista	Ciliophora	Litostomatea	Dileptida	1
1150	Root;k__Chromista;p__Ochrophyta;c__Dictyochophyceae;o__Dictyochales	Chromista	Ochrophyta	Dictyochophyceae	Dictyochales	1
1151	Root;k__Protozoa;p__Sarcomastigophora;c__;o__	Protozoa	Sarcomastigophora			1
1152	Root;k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Pertusariales	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	1
1153	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales	Fungi	Ascomycota	Dothideomycetes	Venturiales	1
1154	Root;k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	1
1155	Root;k__Chromista;p__Foraminifera;c__;o__Polymorphinida	Chromista	Foraminifera		Polymorphinida	1
1156	Root;k__Chromista;p__Ochrophyta;c__Chrysophyceae;o__Chromulinales	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	1
1157	Root;k__Protozoa;p__Mycetozoa;c__Protosteliomycetes;o__Ceratiomyxales	Protozoa	Mycetozoa	Protosteliomycetes	Ceratiomyxales	1
1158	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	Fungi	Ascomycota	Dothideomycetes	Capnodiales	1
1159	Root;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Phomatosporales	Fungi	Ascomycota	Sordariomycetes	Phomatosporales	1
1160	Root;k__Chromista;p__Ciliophora;c__Gymnostomatea;o__Pseudoholophryida	Chromista	Ciliophora	Gymnostomatea	Pseudoholophryida	1
1161	Root;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gloeophyllales	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	1
1162	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Lithodesmiales	Chromista	Ochrophyta	Bacillariophyceae	Lithodesmiales	1
1163	Root;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	1
1164	Root;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	1
1165	Root;k__Chromista;p__Foraminifera;c__;o__Parathuramminida	Chromista	Foraminifera		Parathuramminida	1
1166	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Licmophorales	Chromista	Ochrophyta	Bacillariophyceae	Licmophorales	1
1167	Root;k__Chromista;p__Ciliophora;c__Prostomatea;o__Prostomatida	Chromista	Ciliophora	Prostomatea	Prostomatida	1
1168	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Valsariales	Fungi	Ascomycota	Dothideomycetes	Valsariales	1
1169	Root;k__Chromista;p__Ciliophora;c__Karyorelictea;o__Trachelocercida	Chromista	Ciliophora	Karyorelictea	Trachelocercida	1
1170	Root;k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales	Fungi	Mucoromycota	Mucoromycetes	Mucorales	1
1171	Root;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	1
1172	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dyfrolomycetales	Fungi	Ascomycota	Dothideomycetes	Dyfrolomycetales	1
1173	Root;k__Protozoa;p__Choanozoa;c__Ichthyosporea;o__Eccrinida	Protozoa	Choanozoa	Ichthyosporea	Eccrinida	1
1174	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	1
1175	Root;k__Fungi;p__Ascomycota;c__Candelariomycetes;o__Candelariales	Fungi	Ascomycota	Candelariomycetes	Candelariales	1
1176	Root;k__Chromista;p__Ochrophyta;c__Phaeophyceae;o__Ralfsiales	Chromista	Ochrophyta	Phaeophyceae	Ralfsiales	1
1177	Root;k__Chromista;p__;c__Polycystina;o__Spumellaria	Chromista		Polycystina	Spumellaria	1
1178	Root;k__Chromista;p__Ciliophora;c__Colpodea;o__Colpodida	Chromista	Ciliophora	Colpodea	Colpodida	1
1179	Root;k__Chromista;p__Foraminifera;c__Globothalamea;o__Loftusiida	Chromista	Foraminifera	Globothalamea	Loftusiida	1
1180	Root;k__Chromista;p__Ochrophyta;c__Phaeophyceae;o__Sphacelariales	Chromista	Ochrophyta	Phaeophyceae	Sphacelariales	1
1181	Root;k__Chromista;p__;c__;o__	Chromista				1
1182	Root;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	1
1183	Root;k__Chromista;p__Ciliophora;c__Oligohymenophorea;o__Hymenostomatida	Chromista	Ciliophora	Oligohymenophorea	Hymenostomatida	1
1184	Root;k__Chromista;p__Ciliophora;c__Oligotrichea;o__Oligotrichida	Chromista	Ciliophora	Oligotrichea	Oligotrichida	1
1185	Root;k__Fungi;p__Entomophthoromycota;c__Entomophthoromycetes;o__Entomophthorales	Fungi	Entomophthoromycota	Entomophthoromycetes	Entomophthorales	1
1186	Root;k__Chromista;p__Ciliophora;c__Colpodea;o__Cyrtolophosidida	Chromista	Ciliophora	Colpodea	Cyrtolophosidida	1
1187	Root;k__Fungi;p__Chytridiomycota;c__Monoblepharidomycetes;o__Monoblepharidales	Fungi	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	1
1188	Root;k__Chromista;p__Haptophyta;c__Prymnesiophyceae;o__Syracosphaerales	Chromista	Haptophyta	Prymnesiophyceae	Syracosphaerales	1
1189	Root;k__Chromista;p__Oomycota;c__Peronosporea;o__Saprolegniales	Chromista	Oomycota	Peronosporea	Saprolegniales	1
1190	Root;k__Chromista;p__Ochrophyta;c__Phaeophyceae;o__Laminariales	Chromista	Ochrophyta	Phaeophyceae	Laminariales	1
1191	Root;k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	1
1192	Root;k__Chromista;p__Ciliophora;c__Nassophorea;o__Nassulida	Chromista	Ciliophora	Nassophorea	Nassulida	1
1193	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Neophaeothecales	Fungi	Ascomycota	Dothideomycetes	Neophaeothecales	1
1194	Root;k__Chromista;p__Ciliophora;c__Cyrtophoria;o__Chlamydodontida	Chromista	Ciliophora	Cyrtophoria	Chlamydodontida	1
1195	Root;k__Chromista;p__Ciliophora;c__Cyrtophoria;o__Dysteriida	Chromista	Ciliophora	Cyrtophoria	Dysteriida	1
