"kingdom","order","count"
"Animalia","Carnivora",1736
"Chromista","Carterinida",10
"Animalia","Carybdeida",42
"Plantae","Caryophyllales",16092
"Animalia","Caryophyllidea",179
"Animalia","Casuariiformes",10
"Animalia","Cathetocephalidea",10
"Plantae","Catoscopiales",1
"Animalia","Caudata",922
"Viruses","Caudovirales",6024
"Plantae","Caulerpales",1
"Bacteria","Caulobacterales",218
"Plantae","Celastrales",1509
"Chromista","Centrales",42
"Chromista","Centrohelida",20
"Animalia","Cephalaspidea",1978
"Animalia","Cephalobaenida",48
"Fungi","Cephalothecales",34
"Fungi","Ceraceosorales",3
"Plantae","Ceramiales",1346
"Protozoa","Ceratiomyxales",12
"Animalia","Ceratitida",3437
"Animalia","Ceratodontiformes",149
"Plantae","Ceratophyllales",11
"Animalia","Cestida",2
"Animalia","Cetacea",695
"Animalia","Cetomimiformes",34
"Bacteria","CF-121",17
"Bacteria","CG1-02-37-114",5
"Bacteria","CG1-02-43-210",1
"Bacteria","CG1-02-64-396",1
"Archaea","CG10238-14",22
"Bacteria","CG2-30-33-46",1
"Bacteria","CG2-30-40-12",2
"Bacteria","CG2-30-59-28",2
"Bacteria","CG2-30-64-16",5
"Bacteria","CG2-30-66-41",1
"Bacteria","Ch115",4
"Bacteria","Ch128b",5
"Bacteria","Ch66",4
"Chromista","Chaetocerales",1
"Chromista","Chaetocerotales",1232
"Animalia","Chaetodermatida",143
"Fungi","Chaetomellales",185
"Plantae","Chaetopeltidales",12
"Plantae","Chaetophorales",106
"Fungi","Chaetosphaeriales",1056
"Plantae","Chaetosphaeridiales",7
"Fungi","Chaetothyriales",895
"Animalia","Characiformes",2462
"Animalia","Charadriiformes",613
"Plantae","Charales",259
"Chromista","Chattonellales",26
"Animalia","Cheilostomatida",11032
"Animalia","Chelodida",31
"Chromista","Chilodonellida",5
"Animalia","Chimaericolidea",5
"Animalia","Chimaeriformes",326
"Animalia","Chirodropida",14
"Animalia","Chiroptera",1798
"Bacteria","Chitinivibrionales",25
"Bacteria","Chitinophagales",555
"Animalia","Chitonida",1033
"Viruses","Chitovirales",83
"Bacteria","Chlamydiales",128
"Chromista","Chlamydodontida",30
